"시도별(1)","장애유형별(1)","시점","장애정도별(1)","항목",데이터
"전국","자폐성","2021","심하지않은장애","소계",0
"전국","자폐성","2021","심하지않은장애","남자",0
"전국","자폐성","2021","심하지않은장애","여자",0
"전국","자폐성","2022","총계","소계",37603
"전국","자폐성","2022","총계","남자",31324
"전국","자폐성","2022","총계","여자",6279
"전국","자폐성","2022","심한장애","소계",37603
"전국","자폐성","2022","심한장애","남자",31324
"전국","자폐성","2022","심한장애","여자",6279
"전국","자폐성","2022","심하지않은장애","소계",0
"전국","자폐성","2022","심하지않은장애","남자",0
"전국","자폐성","2022","심하지않은장애","여자",0
"전국","정신","2019","총계","소계",102980
"전국","정신","2019","총계","남자",52658
"전국","정신","2019","총계","여자",50322
"전국","정신","2019","심한장애","소계",102980
"전국","정신","2019","심한장애","남자",52658
"전국","정신","2019","심한장애","여자",50322
"전국","정신","2019","심하지않은장애","소계",0
"전국","정신","2019","심하지않은장애","남자",0
"전국","정신","2019","심하지않은장애","여자",0
"전국","정신","2020","총계","소계",103525
"전국","정신","2020","총계","남자",52738
"전국","정신","2020","총계","여자",50787
"전국","정신","2020","심한장애","소계",103525
"전국","정신","2020","심한장애","남자",52738
"전국","정신","2020","심한장애","여자",50787
"전국","정신","2020","심하지않은장애","소계",0
"전국","정신","2020","심하지않은장애","남자",0
"전국","정신","2020","심하지않은장애","여자",0
"전국","정신","2021","총계","소계",104214
"전국","정신","2021","총계","남자",52958
"전국","정신","2021","총계","여자",51256
"전국","정신","2021","심한장애","소계",103981
"전국","정신","2021","심한장애","남자",52804
"전국","정신","2021","심한장애","여자",51177
"전국","정신","2021","심하지않은장애","소계",233
"전국","정신","2021","심하지않은장애","남자",154
"전국","정신","2021","심하지않은장애","여자",79
"전국","정신","2022","총계","소계",104424
"전국","정신","2022","총계","남자",52921
"전국","정신","2022","총계","여자",51503
"전국","정신","2022","심한장애","소계",103680
"전국","정신","2022","심한장애","남자",52464
"전국","정신","2022","심한장애","여자",51216
"전국","정신","2022","심하지않은장애","소계",744
"전국","정신","2022","심하지않은장애","남자",457
"전국","정신","2022","심하지않은장애","여자",287
"전국","신장","2019","총계","소계",92408
"전국","신장","2019","총계","남자",54343
"전국","신장","2019","총계","여자",38065
"전국","신장","2019","심한장애","소계",69377
"전국","신장","2019","심한장애","남자",40864
"전국","신장","2019","심한장애","여자",28513
"전국","신장","2019","심하지않은장애","소계",23031
"전국","신장","2019","심하지않은장애","남자",13479
"전국","신장","2019","심하지않은장애","여자",9552
"전국","신장","2020","총계","소계",97530
"전국","신장","2020","총계","남자",57584
"전국","신장","2020","총계","여자",39946
"전국","신장","2020","심한장애","소계",73163
"전국","신장","2020","심한장애","남자",43328
"전국","신장","2020","심한장애","여자",29835
"전국","신장","2020","심하지않은장애","소계",24367
"전국","신장","2020","심하지않은장애","남자",14256
"전국","신장","2020","심하지않은장애","여자",10111
"전국","신장","2021","총계","소계",102135
"전국","신장","2021","총계","남자",60527
"전국","신장","2021","총계","여자",41608
"전국","신장","2021","심한장애","소계",76865
"전국","신장","2021","심한장애","남자",45754
"전국","신장","2021","심한장애","여자",31111
"전국","신장","2021","심하지않은장애","소계",25270
"전국","신장","2021","심하지않은장애","남자",14773
"전국","신장","2021","심하지않은장애","여자",10497
"전국","신장","2022","총계","소계",105842
"전국","신장","2022","총계","남자",62955
"전국","신장","2022","총계","여자",42887
"전국","신장","2022","심한장애","소계",79225
"전국","신장","2022","심한장애","남자",47389
"전국","신장","2022","심한장애","여자",31836
"전국","신장","2022","심하지않은장애","소계",26617
"전국","신장","2022","심하지않은장애","남자",15566
"전국","신장","2022","심하지않은장애","여자",11051
"전국","심장","2019","총계","소계",5266
"전국","심장","2019","총계","남자",3368
"전국","심장","2019","총계","여자",1898
"전국","심장","2019","심한장애","소계",4264
"전국","심장","2019","심한장애","남자",2675
